mic_name,day,start_time,end_time,venue_name,borough,neighborhood,address,cost,stage_time_minutes,signup_instructions,organizer_contact,notes,latitude,longitude
Producer's Club,Sunday,7:30 PM,9:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",Free (purchase recommended),6,Sign up via Instagram DM or waitlist in person,Dee Major (@byotmic),,40.7595017,-73.9914437
Bob and Sam,Sunday,8:00 PM,9:30 PM,Easy Lover BK,Brooklyn,Williamsburg,"790 Metropolitan Ave, Brooklyn, NY 11211",1 Item Minimum,,Sign up in person,@bobandsammic,,40.7145615,-73.9425485
Punching Bag,Sunday,8:00 PM,9:30 PM,O'Keefe's Bar,Brooklyn,Downtown Brooklyn,"62 Court St, Brooklyn, NY 11201",Free (purchase recommended),,Sign up in person,Punching Bag (@punchingbagcomedy),,40.6920277,-73.9914226
Tiny Cupboard,Sunday,8:30 PM,10:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207",$2,5,Sign up in person (Blue Room),Tiny Cupboard (@thetinycupboard),,40.6836915,-73.9112136
QED Sunday Mic,Sunday,8:30 PM,10:00 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105",$5 cash,5,Sign up in person only,QED Staff (@qedastoria),,40.775548,-73.9149401
Fear City Late Mic,Sunday,9:00 PM,10:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002",$2,5,Sign up in person,Jonesy (@thefearcitycomedyclub),Show dependent start time (9 or 10 PM),40.7152631,-73.9901598
Pit Improv Jam,Sunday,9:30 PM,11:00 PM,The Pit Midtown,Manhattan,Midtown,"154 W. 29th St., New York, NY 10001",$5+ purchase,,Sign up at 8:00 PM,The Pit Midtown (@thepitnyc),,40.7474462,-73.9922022
B.Y.O.T.,Sunday,10:00 PM,11:30 PM,UCB,Manhattan,East Village,"242 E 14th St, New York, NY 10003",$5 cash,,Sign up in person,UCB (@byotmic),,40.7330,-73.9855
Tiny Cupboard,Sunday,10:00 PM,11:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207",$2,5,Sign up in person (Blue Room),Tiny Cupboard (@thetinycupboard),,40.6836915,-73.9112136
Greenwich Village Comedy Club Mic,Monday,3:00 PM,4:45 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 MacDougal St, New York, NY 10012",$5 cash,5,Sign up at DrewTessier.com,Robert Johnson (@comedybydrew),,40.7296565,-74.001091
Comedy Shop,Monday,4:00 PM,6:00 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012",$7.62 (includes drink/fries),,Sign up at https://comedyshopnyc.com/events/,@thecomedyshopvillage,,40.7288305,-74.0001342
West Side Comedy Club Mic,Monday,4:30 PM,6:00 PM,West Side Comedy Club,Manhattan,UWS,"201 W 75th St, New York, NY 10023",$5,,Sign up online,Heming Ge (@heming_comedy),,40.7808191,-73.9805102
Open Mic! w/ Obi O'Brien,Monday,4:30 PM,5:30 PM,The PIT NYC,Manhattan,Midtown,"156 W. 29th Street, Floor 2, New York, NY, 10001",$5,,Sign up at https://thepit-nyc.com/events/,Obi O'Brien (@sayhiobi),,40.7473936,-73.9923712
Grisly Pear,Monday,4:30 PM,6:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012",$5 cash,5,Sign up in person only,@grislypear,,40.7298491,-74.0008199
Don't Freak Out,Monday,5:00 PM,6:30 PM,New York Comedy Club Midtown,Manhattan,Gramercy,"241 E 24th St, New York, NY 10010",$5,5,Sign up in person,Alex Mahaney (@alexmahaney),,40.7389213,-73.9808057
The Stand Laughing Buddha Mic,Monday,5:00 PM,6:30 PM,The Stand NYC,Manhattan,East Village,"116 E 16th St, New York, NY 10003",$7,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),,40.7353379,-73.988463
Producer's Club,Monday,5:00 PM,6:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),,40.7595017,-73.9914437
Mondays with Messite,Monday,5:00 PM,6:30 PM,Janice's apt,Manhattan,Hell's Kitchen,"247 W 46th St Apt 1701, New York, NY 10036",$5 cash,5,Sign up in person,Janice Messite (@janicemessite),,40.7598818,-73.9874267
Sesh Mic,Monday,5:00 PM,6:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5 cash,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),,40.7190777,-73.9912865
BK Made Open Mic,Monday,5:00 PM,6:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,,40.6939773,-73.9073961
Comedy Village Open Mic,Monday,5:30 PM,7:00 PM,Comedy Village,Manhattan,Hell's Kitchen,"352 W 44th St, New York, NY 10036",$6 (includes drink),5,Sign up online,Natalie Gavilanes (@nataliedoescomedy),On break in August,40.7593093,-73.9911149
Caravan of Dreams,Monday,6:00 PM,7:30 PM,Caravan of Dreams,Manhattan,East Village,"405 E 6th St, New York, NY 10009",1 Item Minimum,5,Sign up in person,Josh Daws (@dawsjosh),,40.7264058,-73.9856462
Producer's Club,Monday,6:00 PM,7:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5,5,Sign up in person only,Dee Major (@micdupnyc),,40.7595017,-73.9914437
Sesh Mic,Monday,6:00 PM,7:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5 cash,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),,40.7190777,-73.9912865
Phoenix Bar,Monday,6:00 PM,7:45 PM,Phoenix Bar Avenue A,Manhattan,East Village,"447 E 13th St, New York, NY 10009",Free,,Sign up in person only,Brad Aford (@papatlalpan),,40.7299744,-73.9811697
QED Monday,Monday,6:00 PM,7:30 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105",$5,5,Sign up at 8:00 PM,QED Staff (@qedastoria),,40.775548,-73.9149401
Harlem Nights,Monday,6:00 PM,7:30 PM,Harlem Nights Bar,Manhattan,Harlem,"2361 Adam Clayton Powell Jr Blvd, New York, NY 10030",$7.62 (includes drink/fries),5,Text Rashad Bashir to sign up,Rashad Bashir (@rbashir_comedy),,40.8172204,-73.9419721
Grisly Pear,Monday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012",1 Drink Minimum,5,Sign up in person only,@grislypear,,40.7298491,-74.0008199
Comedy Shop,Monday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012",$7.62 (includes drink/fries),,Sign up at https://comedyshopnyc.com/events/,@thecomedyshopvillage,,40.7288305,-74.0001342
Fear City Mic,Monday,6:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002",$5,5,Comment on Instagram post to sign up,Jonesy (@thefearcitycomedyclub),,40.7152631,-73.9901598
Pillow Fight,Monday,6:00 PM,7:30 PM,Pine Box Rock Shop,Brooklyn,East Williamsburg,"12 Grattan St, Brooklyn, NY 11206",1 Drink Minimum,,Sign up in person,@pillowfightmic,,40.7052293,-73.9326664
Comedy in Harlem,Monday,6:00 PM,7:30 PM,Comedy in Harlem,Manhattan,Harlem,"750A St Nicholas Ave, New York, NY 10031",$5,5,Show up go up,SashaLynn Medina (@comedyinharlem),,40.8255092,-73.9433543
Flop Mic,Monday,6:30 PM,8:00 PM,Flop House Comedy Club,Brooklyn,Williamsburg,"362 Grand St, Brooklyn, NY 11211",Free (purchase recommended),,Sign up at https://checkout.square.site/merchant/MLE3S94S31KSN/checkout/SIS6B57KN346S6DZKXCFZ26T,Flop House Host (@flophousecomedy),,40.7122083,-73.9557789
Spare Time Open Mic,Monday,6:30 PM,8:00 PM,The Gutter Williamsburg,Brooklyn,Greenpoint/Williamsburg,"200 N 14th St, Brooklyn, NY 11249",$5+ purchase,,Sign up in person,Jake Hamilton (@sparetimecomedy),,40.7227408,-73.9554759
Yard Sale,Monday,6:45 PM,8:30 PM,Alphaville,Brooklyn,Bushwick,"1288 Myrtle Ave, Brooklyn, NY 11221",$5,5,Sign up in person,@yardsalegirls,,40.698006,-73.925272
Ethically Ambiguous,Monday,7:00 PM,8:30 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217",Free,5,Sign up in person,@ethicallyambiguousmic,,40.6859068,-73.9816185
Sesh Mic,Monday,7:00 PM,8:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),,40.7190777,-73.9912865
Fun Mic,Monday,7:00 PM,8:30 PM,Freddy's,Brooklyn,Park Slope,"627 5th Ave, Brooklyn, NY 11215",Free,,Sign up in person,Asif L./Mike H. (@fisacomedy),,40.6632901,-73.9911383
Freak Latte,Monday,7:00 PM,8:30 PM,Good Judy,Brooklyn,Park Slope,"563 5th Ave, Brooklyn, NY 11215",Free,,Sign up in person,@freaklattemic,,40.6652417,-73.9892672
Femmes and Friends Mic,Monday,7:00 PM,8:30 PM,NYC Suite Bar,Manhattan,UWS,"992 Amsterdam Ave, New York, NY 10025",Free,5,Sign up via Google Sheet (link on Instagram),@femmesandfriendsmic,,40.8026454,-73.964587
BK Made Open Mic,Monday,7:00 PM,8:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,,40.6939773,-73.9073961
Laughing Buddha Mic-a-thon,Monday,6:00 PM,7:30 PM,The Buddha Room,Manhattan,Midtown,"410 8th Ave 2nd Floor, New York, NY 10001",$6+ booking fee,5,Sign up at https://www.laughingbuddhacomedy.com/mics,@laughingbuddhacomedy,,40.7498782,-73.9947359
St. Mark's Laughing Buddha Mic,Monday,7:00 PM,8:30 PM,St. Mark's Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003",$7,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),Win a guest spot,40.7290207,-73.9893198
Bushwick Comedy Club,Monday,7:30 PM,8:30 PM,Bushwick Comedy Club,Brooklyn,Bushwick,"259 Melrose St, Brooklyn, NY 11206",$5,5,Sign up at www.bushwickcomedy.com,Jad/Brooks/Kyle (@bushwickcomedyclub),,40.702,-73.9299503
Producer's Club,Monday,7:30 PM,9:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$6 online,5,Sign up in person only,Dee Major (@micdupnyc),,40.7595017,-73.9914437
Comedians on the Loose,Monday,7:30 PM,9:30 PM,Black Cat LES,Manhattan,LES,"172 Rivington St, New York, NY 10002",$6 cash,5,Sign up at https://www.comediansontheloose.com/open-mics,Sonja Savanovic (@cotlcomedy),,40.7204,-73.9858
Open to Suggestions Mic,Monday,7:45 PM,9:00 PM,Cobra Club Brooklyn,Brooklyn,Bushwick,"6 Wyckoff Ave, Brooklyn, NY 11237",Free,5,Sign up in person,@opentosuggestionsmic,Runs 1st,40.7066852,-73.9235217
All Friends Here,Monday,7:45 PM,9:00 PM,Cobra Club Brooklyn,Brooklyn,Bushwick,"6 Wyckoff Ave, Brooklyn, NY 11237",Free,5,Sign up in person,@were.all.friends.here.comedy,Runs 2nd and 4th Monday of the month.,40.7066852,-73.9235217
Succulent Open Mic,Monday,8:00 PM,9:30 PM,Tara Mor,Manhattan,Chelsea,"150 W 30th St, New York, NY 10001",1 Drink Minimum,4,Sign up at 7:30 PM,@succulent_comedy,Runs 3 weeks per month.,40.7480429,-73.9919743
Easy Paradise Mag @ KGB,Monday,8:00 PM,1:00 AM,KGB Bar,Manhattan,East Village,"85 E 4th St, New York, NY 10003",2 Drink Minimum,10,DM on Instagram to sign up,Matt Proctor (@easyparadisemag),,40.7265891,-73.9898025
Stumble Inn,Monday,8:00 PM,10:00 PM,Stumble Inn,Manhattan,UES,"1454 2nd Ave, New York, NY 10021",Free (purchase recommended),5,DM on Instagram on Sunday to sign up,Jon Mahoney (@jonmahoneycomedy),,40.771213,-73.9563888
Tiny Cupboard,Monday,8:30 PM,10:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207",$2,5,Sign up in person (Blue Room),@thetinycupboard,,40.6836915,-73.9112136
Producer's Club,Monday,8:30 PM,10:15 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),,40.7595017,-73.9914437
Hell Yeah,Monday,9:00 PM,10:30 PM,Halyards,Brooklyn,Gowanus,"406 3rd Ave, Brooklyn, NY 11215",1 Item Minimum,5,Sign up in person,Garrett Snipes (@garrettsnipes),,40.6732561,-73.9897416
BK Made Open Mic,Monday,9:00 PM,10:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,,40.6939773,-73.9073961
Fear City,Monday,9:00 PM,10:15 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002",$5,5,Sign up in person,Danny Fallon (@thefearcitycomedyclub),,40.7152631,-73.9901598
Noncommittal Mic,Monday,9:00 PM,10:30 PM,Grove 34,Queens,Astoria,"31-83 34th St, Astoria, NY 11106",Free,5,Sign up in person,Hallie Manchester and Alejandra Jimenez (@noncommittalmic),,40.7674298,-73.9329303
The Joy of Ranting,Monday,9:00 PM,10:30 PM,Windjammer,Queens,Ridgewood,"5-52 Grandview Ave, Ridgewood, NY 11385",Free,5,Sign up in person,,Mixed mic,40.7093075,-73.9070026
PIT Musical Improv Jam,Monday,9:30 PM,11:00 PM,The PIT NYC,Manhattan,Midtown,"154 W. 29th St., New York, NY 10001",$10,,Sign up online,Hunter Martin and Austin Olsen (@austino19),,40.7473936,-73.9923712
Laughing Buddha Mic-a-thon,Monday,7:30 PM,9:00 PM,The Buddha Room,Manhattan,Midtown,"410 8th Ave 2nd Floor, New York, NY 10001",$6+ booking fee,5,Sign up at https://www.laughingbuddhacomedy.com/mics,@laughingbuddhacomedy,,40.7498782,-73.9947359
Rodney's Mic,Monday,9:45 PM,11:15 PM,Rodney's Comedy Club,Manhattan,UES,"1118 1st Ave, New York, NY 10065",$7,5,Sign up at https://www.laughingbuddhacomedy.com/mics,Michael Flemingo and Riley Flanagan (@laughingbuddhacomedy),,40.7610441,-73.960624
Tiny Cupboard,Monday,10:00 PM,11:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207",$2,5,Sign up in person (Blue Room),@thetinycupboard,,40.6836915,-73.9112136
Grisly Pear,Tuesday,4:30 PM,6:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012",$5 cash,5,Sign up in person only,@grislypear,,40.7298491,-74.0008199
BK Made Open Mic,Tuesday,5:00 PM,6:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,,40.6939773,-73.9073961
Sesh Mic,Tuesday,5:00 PM,6:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),,40.7190777,-73.9912865
Producer's Club,Tuesday,5:00 PM,6:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),,40.7595017,-73.9914437
St. Mark's Laughing Buddha Mic,Tuesday,5:00 PM,6:15 PM,St. Mark's Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003",$7,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),Win a guest spot,40.7645366,-73.9833266
Laughpack @ Housewatch,Tuesday,5:15 PM,6:45 PM,Housewatch,Manhattan,East Village,"50 Avenue B, New York, NY 10009",$5,5,Sign up in person,Shane Lorenzen/Devon Jones (@laughpackproductions),,40.7231925,-73.982715
Steve Arons Tuesday Mic,Tuesday,5:15 PM,6:30 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 MacDougal St, New York, NY 10012",$5 cash,5,Show up go up,Steve Arons,,40.7296565,-74.001091
Comedy Village Open Mic,Tuesday,5:30 PM,7:00 PM,Comedy Village,Manhattan,Hell's Kitchen,"352 W 44th St, New York, NY 10036",$6 (includes drink),5,Sign up online,Natalie Gavilanes (@nataliedoescomedy),On break in August,40.7593093,-73.9911149
UCB Improv Jam,Tuesday,5:30 PM,6:45 PM,UCB,Manhattan,East Village,"242 East 14th Street, New York, NY 10003",Free,,Sign up online,@ucb,Runs 2nd and 4th Tuesday of the month.,40.7328695,-73.9853584
The Grisly Pear Mic-a-thon,Tuesday,5:45 PM,7:00 PM,The Grisly Pear,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",$7,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),,40.7645366,-73.9833266
Laughing Buddha Mic-a-thon,Tuesday,6:00 PM,7:30 PM,The Buddha Room,Manhattan,Midtown,"410 8th Ave 2nd Floor, New York, NY 10001",$6+ booking fee,5,Sign up at https://www.laughingbuddhacomedy.com/mics,@laughingbuddhacomedy,,40.7498782,-73.9947359
Comedy in Harlem,Tuesday,6:00 PM,7:30 PM,Comedy in Harlem,Manhattan,Harlem,"750A St Nicholas Ave, New York, NY 10031",$5 cash,5,Sign up at 5:30 PM,@comedyinharlem,,40.8255092,-73.9433543
Sesh Mic,Tuesday,6:00 PM,7:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),,40.7190777,-73.9912865
Bad Behavior Mic,Tuesday,6:00 PM,8:00 PM,Echo Bravo,Brooklyn,Bushwick,"445 Troutman St, Brooklyn, NY 11237",$3,,Sign up in person,@behaviormic,,40.7079355,-73.9216365
Producer's Club,Tuesday,6:00 PM,8:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),,40.7595017,-73.9914437
LGBTQ QED Mic,Tuesday,6:00 PM,7:30 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105",$5+ purchase,,Sign up at 8:00 PM,QED Staff (@qedastoria),,40.775548,-73.9149401
Grisly Pear,Tuesday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012",$5 cash,6,Sign up in person only,@grislypear,,40.7298491,-74.0008199
Comedy Shop,Tuesday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012",$7.62 (includes drink/fries),,Sign up at https://comedyshopnyc.com/events/,@thecomedyshopvillage,,40.7288305,-74.0001342
Fear City Mic,Tuesday,6:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002",$5,5,Comment on Instagram post to sign up,Jonesy (@thefearcitycomedyclub),,40.7152631,-73.9901598
Jeans and a Nice Top,Tuesday,6:00 PM,7:30 PM,Pine Box,Brooklyn,Williamsburg,"12 Grattan St, Brooklyn, NY 11206",Free (purchase recommended),,Sign up in person,@jeansandanicetopcomedy,,40.7052293,-73.9326664
Tammany Hall,Tuesday,6:00 PM,7:30 PM,Halyards,Brooklyn,Gowanus,"406 3rd Ave, Brooklyn, NY 11215",1 Drink Minimum (~$5),3,Sign up in person,@tammanyhallmic,,40.6732561,-73.9897416
Yikes! Mic,Tuesday,6:30 PM,8:00 PM,Flop House Comedy Club,Brooklyn,Williamsburg,"362 Grand St, Brooklyn, NY 11211",Free (purchase recommended),,Sign up at https://checkout.square.site/merchant/MLE3S94S31KSN/checkout/SIS6B57KN346S6DZKXCFZ26T,Flop House Host (@flophousecomedy),,40.7122083,-73.9557789
BK Made Open Mic,Tuesday,7:00 PM,8:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,,40.6939773,-73.9073961
Flopsauce,Tuesday,7:00 PM,8:30 PM,Secret Pour,Brooklyn,Bushwick,"1114 DeKalb Ave, Brooklyn, NY 11221",Free (purchase recommended),,Sign up in person,MLeeBaker and KaylaKirk (@flopsaucemic),Bi-weekly (1st/3rd Tuesday),40.6937282,-73.9298594
Sesh Mic,Tuesday,7:00 PM,8:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),,40.7190777,-73.9912865
The Mic about Ideas,Tuesday,7:00 PM,8:30 PM,Gutter Bar,Brooklyn,Williamsburg,"200 N 14th St, Brooklyn, NY 11249",Free (purchase recommended),,Sign up in person,Maggie Olmsted & Lily Armatrout (@themicaboutideas),Bi-weekly (2nd/4th Tuesday),40.7227408,-73.9554759
Pure Chaos,Tuesday,7:00 PM,8:30 PM,Alphaville Bar,Brooklyn,Bushwick,"140 Wilson Ave, Brooklyn, NY 11237",$5,5,Check Instagram for signup link,PURE CHAOS (@purechaoscomedy),,40.7005289,-73.9258157
Plan B Comedy,Tuesday,7:00 PM,9:00 PM,Eastpoint Bar,Manhattan,East Village,"25 Avenue B, New York, NY 10009",1 Item Minimum (~$5),5,Check Instagram for signup info,Joe Gerbo & Harrison Marx (@planb.comedy),Bi-weekly,40.7222419,-73.9830182
Comedians on the Loose,Tuesday,7:00 PM,8:55 PM,Black Cat LES,Manhattan,LES,"172 Rivington St, New York, NY 10002",$6 cash,,Sign up at https://www.comediansontheloose.com/open-mics,Sonja Savanovic (@cotlcomedy),,40.7190777,-73.9912865
Chewsdays Innit,Tuesday,7:00 PM,8:30 PM,Grey Mare,Manhattan,LES,"61 2nd Ave, New York, NY 10003",Free,5,Sign up in person,"Jake Lemonade, Jamie Freeland, and Paulina Breeze (@Jake_Lemonade97)",Skips 1st Tuesday of the month.,40.7260295,-73.9899072
